user_id,cover_story,a_value,b_value,c_value,d_value,estimation,is_first,is_symmetric,sample_number,timestamp,phase,reason
mcll7awiiqdirr6496.p77,4,6,0,6,0,0,0,1,3,2025/7/2 15:58,examine1,実験未完了
mcll7awiiqdirr6496.p77,9,7,0,6,1,10,0,1,6,2025/7/2 15:58,examine1,実験未完了
mcln966w5ayflxl00s,8,6,6,0,12,36,0,0,1,2025/7/2 16:43,examine1,短い回答時間（サマリー形式）
mcln966w5ayflxl00s,4,7,3,3,7,33,0,0,5,2025/7/2 16:43,examine1,短い回答時間（サマリー形式）
mcln966w5ayflxl00s,3,7,6,0,13,12,0,0,4,2025/7/2 16:43,examine1,短い回答時間（サマリー形式）
mcln966w5ayflxl00s,9,7,0,6,1,9,0,0,6,2025/7/2 16:43,examine1,短い回答時間（サマリー形式）
mcln966w5ayflxl00s,11,6,3,3,6,31,0,0,2,2025/7/2 16:43,examine1,短い回答時間（サマリー形式）
mcln966w5ayflxl00s,2,6,0,6,0,30,0,0,3,2025/7/2 16:43,examine1,短い回答時間（サマリー形式）
mclor9l6i406au8p2x.p77,1,7,0,6,1,65,1,1,6,2025/7/2 17:20,examine1,実験未完了
mclor9l6i406au8p2x.p77,3,6,0,6,0,0,1,1,3,2025/7/2 17:21,examine1,実験未完了
mclor9l6i406au8p2x.p77,7,7,3,3,7,90,1,1,5,2025/7/2 17:22,examine1,実験未完了
mclor9l6i406au8p2x.p77,9,6,6,0,12,83,1,1,1,2025/7/2 17:22,examine1,実験未完了
mclor9l6i406au8p2x.p77,10,7,6,0,13,80,1,1,4,2025/7/2 17:23,examine1,実験未完了
mclor9l6i406au8p2x.p77,5,6,3,3,6,60,1,1,2,2025/7/2 17:24,examine1,実験未完了
mclox5fcxonyezd8ie,12,6,0,6,0,0,0,0,3,2025/7/2 17:32,examine1,実験未完了
mclox5fcxonyezd8ie,5,7,3,3,7,36,0,0,5,2025/7/2 17:32,examine1,実験未完了
mclox5fcxonyezd8ie,2,7,6,0,13,69,0,0,4,2025/7/2 17:32,examine1,実験未完了
mclox5fcxonyezd8ie,7,6,6,0,12,55,0,0,1,2025/7/2 17:32,examine1,実験未完了
mclox5fcxonyezd8ie,9,7,0,6,1,-15,0,0,6,2025/7/2 17:32,examine1,実験未完了
mclox5fcxonyezd8ie,1,6,3,3,6,39,0,0,2,2025/7/2 17:33,examine1,実験未完了
mcll5l2iepz2wdz81b,1,6,6,0,12,21,1,1,24,2025/7/2 15:40,examine1_2,実験未完了
mcll5l2iepz2wdz81b,9,7,0,6,1,-92,1,1,14,2025/7/2 15:41,examine1_2,実験未完了
mcll5l2iepz2wdz81b,5,7,6,0,13,15,1,1,26,2025/7/2 15:42,examine1_2,実験未完了
mcll5l2iepz2wdz81b,2,6,3,3,6,9,1,1,18,2025/7/2 15:43,examine1_2,実験未完了
mcll5l2iepz2wdz81b,8,6,0,6,0,0,1,1,12,2025/7/2 15:44,examine1_2,実験未完了
mcll5l2iepz2wdz81b,7,7,3,3,7,29,1,1,20,2025/7/2 15:45,examine1_2,実験未完了
mcll6x95i4b8ac15l6.eee,3,7,3,3,7,49,1,1,20,2025/7/2 15:41,examine1_2,類似回答（サマリー形式）
mcll6x95i4b8ac15l6.eee,10,7,6,0,13,45,1,1,26,2025/7/2 15:42,examine1_2,類似回答（サマリー形式）
mcll6x95i4b8ac15l6.eee,11,6,6,0,12,42,1,1,24,2025/7/2 15:43,examine1_2,類似回答（サマリー形式）
mcll6x95i4b8ac15l6.eee,7,6,3,3,6,53,1,1,18,2025/7/2 15:44,examine1_2,類似回答（サマリー形式）
mcll6x95i4b8ac15l6.eee,1,7,0,6,1,62,1,1,14,2025/7/2 15:45,examine1_2,類似回答（サマリー形式）
mcll6x95i4b8ac15l6.eee,2,6,0,6,0,50,1,1,12,2025/7/2 15:45,examine1_2,類似回答（サマリー形式）
mcll53kpea68dgzp2d.p77,8,7,0,6,1,47,0,0,14,2025/7/2 15:42,examine1_2,実験未完了
mcll53kpea68dgzp2d.p77,12,6,3,3,6,0,0,0,18,2025/7/2 15:43,examine1_2,実験未完了
mcll53kpea68dgzp2d.p77,2,7,3,3,7,46,0,0,20,2025/7/2 15:44,examine1_2,実験未完了
mcll53kpea68dgzp2d.p77,11,6,0,6,0,0,0,0,12,2025/7/2 15:45,examine1_2,実験未完了
mcll53kpea68dgzp2d.p77,10,7,6,0,13,40,0,0,26,2025/7/2 15:46,examine1_2,実験未完了
mcll53kpea68dgzp2d.p77,7,6,6,0,12,30,0,0,24,2025/7/2 15:47,examine1_2,実験未完了
mcll69xvddcgubiz4f,9,6,0,6,0,0,0,1,12,2025/7/2 15:43,examine1_2,類似回答（オンライン形式）
mcll69xvddcgubiz4f,8,6,6,0,12,11,0,1,24,2025/7/2 15:45,examine1_2,類似回答（オンライン形式）
mcll69xvddcgubiz4f,7,7,3,3,7,19,0,1,20,2025/7/2 15:46,examine1_2,類似回答（オンライン形式）
mcll69xvddcgubiz4f,12,7,0,6,1,21,0,1,14,2025/7/2 15:46,examine1_2,類似回答（オンライン形式）
mcll69xvddcgubiz4f,1,7,6,0,13,32,0,1,26,2025/7/2 15:48,examine1_2,類似回答（オンライン形式）
mcll69xvddcgubiz4f,10,6,3,3,6,0,0,1,18,2025/7/2 15:49,examine1_2,類似回答（オンライン形式）
mcll7awiiqdirr6496.p77,2,7,6,0,13,62,1,1,26,2025/7/2 15:44,examine1_2,実験未完了
mcll7awiiqdirr6496.p77,1,6,0,6,0,0,1,1,12,2025/7/2 15:46,examine1_2,実験未完了
mcll7awiiqdirr6496.p77,6,6,3,3,6,20,1,1,18,2025/7/2 15:48,examine1_2,実験未完了
mcll7awiiqdirr6496.p77,8,7,3,3,7,70,1,1,20,2025/7/2 15:50,examine1_2,実験未完了
mcll7awiiqdirr6496.p77,11,7,0,6,1,10,1,1,14,2025/7/2 15:54,examine1_2,実験未完了
mcll7awiiqdirr6496.p77,10,6,6,0,12,50,1,1,24,2025/7/2 15:56,examine1_2,実験未完了
mcln966w5ayflxl00s,5,7,6,0,13,43,1,0,26,2025/7/2 16:38,examine1_2,短い回答時間（サマリー形式）
mcln966w5ayflxl00s,1,6,0,6,0,34,1,0,12,2025/7/2 16:39,examine1_2,短い回答時間（サマリー形式）
mcln966w5ayflxl00s,10,6,6,0,12,35,1,0,24,2025/7/2 16:40,examine1_2,短い回答時間（サマリー形式）
mcln966w5ayflxl00s,7,7,0,6,1,46,1,0,14,2025/7/2 16:40,examine1_2,短い回答時間（サマリー形式）
mcln966w5ayflxl00s,12,6,3,3,6,-31,1,0,18,2025/7/2 16:42,examine1_2,短い回答時間（サマリー形式）
mcln966w5ayflxl00s,6,7,3,3,7,28,1,0,20,2025/7/2 16:42,examine1_2,短い回答時間（サマリー形式）
mclox5fcxonyezd8ie,10,6,6,0,12,32,1,0,24,2025/7/2 17:25,examine1_2,実験未完了
mclox5fcxonyezd8ie,8,6,3,3,6,24,1,0,18,2025/7/2 17:26,examine1_2,実験未完了
mclox5fcxonyezd8ie,11,7,6,0,13,37,1,0,26,2025/7/2 17:27,examine1_2,実験未完了
mclox5fcxonyezd8ie,4,6,0,6,0,61,1,0,12,2025/7/2 17:28,examine1_2,実験未完了
mclox5fcxonyezd8ie,6,7,3,3,7,10,1,0,20,2025/7/2 17:29,examine1_2,実験未完了
mclox5fcxonyezd8ie,3,7,0,6,1,20,1,0,14,2025/7/2 17:31,examine1_2,実験未完了
mclor9l6i406au8p2x.p77,8,7,6,0,13,50,0,1,26,2025/7/2 17:28,examine1_2,実験未完了
mclor9l6i406au8p2x.p77,6,6,6,0,12,77,0,1,24,2025/7/2 17:30,examine1_2,実験未完了
mclor9l6i406au8p2x.p77,4,7,0,6,1,19,0,1,14,2025/7/2 17:32,examine1_2,実験未完了
mclor9l6i406au8p2x.p77,11,6,3,3,6,27,0,1,18,2025/7/2 17:34,examine1_2,実験未完了
mclor9l6i406au8p2x.p77,12,6,0,6,0,0,0,1,12,2025/7/2 17:36,examine1_2,実験未完了
mclor9l6i406au8p2x.p77,2,7,3,3,7,21,0,1,20,2025/7/2 17:38,examine1_2,実験未完了
