user_id,cover_story,a_value,b_value,c_value,d_value,estimation,is_first,is_symmetric,is_summary,sample_number,timestamp,order,reason
mcll64y6b4oezqkjc9,3,7,3,3,7,-35,1,1,False,20,2025-07-02 15:44:11,6,short_duration_ex1
mcll6x95i4b8ac15l6.eee,3,7,3,3,7,49,1,1,False,20,2025-07-02 15:41:16,1,short_duration_ex1;similar_answers_ex1
mcll6x95i4b8ac15l6.eee,10,7,6,0,13,45,1,1,False,26,2025-07-02 15:42:32,2,short_duration_ex1;similar_answers_ex1
mcll6x95i4b8ac15l6.eee,11,6,6,0,12,42,1,1,False,24,2025-07-02 15:43:38,3,short_duration_ex1;similar_answers_ex1
mcll6x95i4b8ac15l6.eee,7,6,3,3,6,53,1,1,False,18,2025-07-02 15:44:29,4,short_duration_ex1;similar_answers_ex1
mcll6x95i4b8ac15l6.eee,1,7,0,6,1,62,1,1,False,14,2025-07-02 15:45:20,5,short_duration_ex1;similar_answers_ex1
mcll6x95i4b8ac15l6.eee,2,6,0,6,0,50,1,1,False,12,2025-07-02 15:45:59,6,short_duration_ex1;similar_answers_ex1
mclmeekysi90pq3ygt.3ll,2,7,3,3,7,12,0,1,False,20,2025-07-02 16:16:16,1,short_duration_ex1
mclmeekysi90pq3ygt.3ll,4,7,0,6,1,10,0,1,False,14,2025-07-02 16:16:56,2,short_duration_ex1
mclmeekysi90pq3ygt.3ll,11,7,6,0,13,52,0,1,False,26,2025-07-02 16:17:57,3,short_duration_ex1
mclmeekysi90pq3ygt.3ll,5,6,6,0,12,61,0,1,False,24,2025-07-02 16:19:04,4,short_duration_ex1
mclmeekysi90pq3ygt.3ll,3,6,3,3,6,5,0,1,False,18,2025-07-02 16:19:46,5,short_duration_ex1
mclmeekysi90pq3ygt.3ll,8,6,0,6,0,0,0,1,False,12,2025-07-02 16:20:22,6,short_duration_ex1
mcln966w5ayflxl00s,5,7,6,0,13,43,1,0,False,26,2025-07-02 16:38:35,1,short_duration_ex1
mcln966w5ayflxl00s,1,6,0,6,0,34,1,0,False,12,2025-07-02 16:39:08,2,short_duration_ex1
mcln966w5ayflxl00s,10,6,6,0,12,35,1,0,False,24,2025-07-02 16:40:17,3,short_duration_ex1
mcln966w5ayflxl00s,7,7,0,6,1,46,1,0,False,14,2025-07-02 16:40:51,4,short_duration_ex1
mcln966w5ayflxl00s,12,6,3,3,6,-31,1,0,False,18,2025-07-02 16:42:14,5,short_duration_ex1
mcln966w5ayflxl00s,6,7,3,3,7,28,1,0,False,20,2025-07-02 16:42:57,6,short_duration_ex1
mclng77lh9kyndz0lp,1,6,6,0,12,73,1,0,False,24,2025-07-02 16:44:27,1,short_duration_ex1
mclng77lh9kyndz0lp,4,7,0,6,1,1,1,0,False,14,2025-07-02 16:45:16,2,short_duration_ex1
mclng77lh9kyndz0lp,11,7,3,3,7,1,1,0,False,20,2025-07-02 16:46:10,3,short_duration_ex1
mclng77lh9kyndz0lp,7,6,0,6,0,0,1,0,False,12,2025-07-02 16:46:44,4,short_duration_ex1
mclng77lh9kyndz0lp,12,6,3,3,6,30,1,0,False,18,2025-07-02 16:47:34,5,short_duration_ex1
mclng77lh9kyndz0lp,3,7,6,0,13,33,1,0,False,26,2025-07-02 16:48:36,6,short_duration_ex1
mclnv4bywkmk14jljd,9,7,0,6,1,35,0,1,False,14,2025-07-02 16:56:22,1,short_duration_ex1
mclnv4bywkmk14jljd,11,6,0,6,0,0,0,1,False,12,2025-07-02 16:56:57,2,short_duration_ex1
mclnv4bywkmk14jljd,1,6,3,3,6,30,0,1,False,18,2025-07-02 16:57:44,3,short_duration_ex1
mclnv4bywkmk14jljd,12,6,6,0,12,48,0,1,False,24,2025-07-02 16:58:40,4,short_duration_ex1
mclnv4bywkmk14jljd,3,7,3,3,7,30,0,1,False,20,2025-07-02 16:59:29,5,short_duration_ex1
mclnv4bywkmk14jljd,2,7,6,0,13,71,0,1,False,26,2025-07-02 17:00:32,6,short_duration_ex1
mclo4ivav2gwxlhpwc.000,8,7,6,0,13,70,1,0,False,26,2025-07-02 17:02:56,1,short_duration_ex1
mclo4ivav2gwxlhpwc.000,12,6,6,0,12,75,1,0,False,24,2025-07-02 17:03:59,2,short_duration_ex1
mclo4ivav2gwxlhpwc.000,1,6,3,3,6,0,1,0,False,18,2025-07-02 17:04:44,3,short_duration_ex1
mclo4ivav2gwxlhpwc.000,4,6,0,6,0,0,1,0,False,12,2025-07-02 17:05:19,4,short_duration_ex1
mclo4ivav2gwxlhpwc.000,6,7,3,3,7,10,1,0,False,20,2025-07-02 17:06:08,5,short_duration_ex1
mclo4ivav2gwxlhpwc.000,7,7,0,6,1,0,1,0,False,14,2025-07-02 17:06:46,6,short_duration_ex1
mclodv3ut2bst4qqi3.000,2,7,0,6,1,0,1,1,False,14,2025-07-02 17:09:50,1,short_duration_ex1
mclodv3ut2bst4qqi3.000,7,6,0,6,0,0,1,1,False,12,2025-07-02 17:10:24,2,short_duration_ex1
mclodv3ut2bst4qqi3.000,8,7,3,3,7,20,1,1,False,20,2025-07-02 17:11:16,3,short_duration_ex1
mclodv3ut2bst4qqi3.000,3,7,6,0,13,38,1,1,False,26,2025-07-02 17:12:18,4,short_duration_ex1
mclodv3ut2bst4qqi3.000,4,6,3,3,6,16,1,1,False,18,2025-07-02 17:13:02,5,short_duration_ex1
mclodv3ut2bst4qqi3.000,9,6,6,0,12,36,1,1,False,24,2025-07-02 17:14:01,6,short_duration_ex1
mclomq7keo3wh0bof8.000,11,6,6,0,12,30,1,0,False,24,2025-07-02 17:17:01,1,short_duration_ex1
mclomq7keo3wh0bof8.000,1,6,3,3,6,20,1,0,False,18,2025-07-02 17:17:47,2,short_duration_ex1
mclomq7keo3wh0bof8.000,4,7,3,3,7,0,1,0,False,20,2025-07-02 17:18:44,3,short_duration_ex1
mclomq7keo3wh0bof8.000,5,6,0,6,0,10,1,0,False,12,2025-07-02 17:19:16,4,short_duration_ex1
mclomq7keo3wh0bof8.000,2,7,0,6,1,0,1,0,False,14,2025-07-02 17:19:54,5,short_duration_ex1
mclomq7keo3wh0bof8.000,12,7,6,0,13,10,1,0,False,26,2025-07-02 17:20:51,6,short_duration_ex1
